Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Spica,,18,33.30%,4,1.8,2.2,6.8,5.1,330,73.70%,13.1,264,1.48,0.32,0.38,0.27,19,-3,-152,44.40%,11.10%,0,-
Spirax,,1,0%,3,3,2,3,7.5,350,100%,30.4,544,0.95,0.4,0.07,0.15,188,-16,-835,0%,0%,0,-
Stixxay,,19,68.40%,5.4,4.6,1.8,5,9.8,458,60.80%,25.3,613,1.27,0.42,0.32,0.18,107,2,188,15.80%,5.30%,1,3
Summit,,18,55.60%,2.7,3.5,3.2,5.2,8.5,420,57.40%,26.8,671,1.13,0.35,0.26,0.21,688,15,414,22.20%,11.10%,0,9
Tactical,,18,27.80%,2.7,4.4,2.8,3.3,9.6,445,74.80%,29.6,640,1.19,0.47,0.35,0.17,125,1,-106,27.80%,16.70%,0,4
Tomo,,19,42.10%,2.8,3.6,3,4.8,9.6,435,71%,27.7,615,1.09,0.35,0.31,0.12,-690,-9,-323,26.30%,15.80%,0,3
Treatz,,18,27.80%,2.3,0.8,3.5,7.1,0.8,229,78.20%,8,165,2.7,1.51,0.22,0.33,14,-1,167,27.80%,5.60%,0,-
UNF0RGIVEN,,18,66.70%,7.4,4.1,1.2,4.9,10.4,476,63%,27,619,1.06,0.37,0.27,0.1,-141,-1,-215,16.70%,11.10%,0,-
Vicla,,17,35.30%,2.2,3.4,3.5,4.5,8.3,399,60.30%,29,590,1.17,0.46,0.23,0.29,-245,-9,-324,17.60%,5.90%,0,3
Vulcan,,18,33.30%,2.9,0.8,2.9,7.6,1,233,67%,7.5,146,2.92,1.54,0.25,0.49,-13,-2,-89,27.80%,11.10%,0,3
WildTurtle,,18,44.40%,3.4,3.2,2.3,4.6,9.7,431,63%,25.7,504,1.25,0.43,0.36,0.14,173,-1,188,22.20%,5.60%,0,1
Yeon,,18,55.60%,5.6,4.3,1.6,4.6,9.3,447,56.80%,25.5,658,1.21,0.37,0.3,0.15,163,4,258,22.20%,0%,0,1
Zven,,19,73.70%,5.4,0.7,2.1,10.4,0.9,259,78.50%,6.9,153,2.79,1.35,0.31,0.24,153,-3,258,31.60%,15.80%,0,-
jojopyun,,18,66.70%,4.2,4.3,2.6,6.4,9.1,447,72.40%,31.4,712,1.33,0.55,0.3,0.24,410,12,216,27.80%,11.10%,0,1
solo,,18,27.80%,1.8,1.9,3,3.4,8,356,46.90%,20.7,442,1.01,0.41,0.18,0.11,-649,-6,-158,5.60%,22.20%,0,4
ssumday,,19,36.80%,2.4,1.6,2.2,3.7,8.7,382,52.30%,21,396,0.98,0.33,0.19,0.15,37,-3,-65,21.10%,10.50%,0,9
